id,status,sort,name,slug,category,subcategory,gender_category,gender,age_group,price,original_price,image_url,description,sizes,colors,color,pattern,style,sku,featured,new_arrival,on_sale,seo_title,seo_description,canonical_url,product_gallery,image,model_image_1,model_image_2,model_image_3,model_image_1_url,model_image_2_url,model_image_3_url,main_image
13,published,,Beige Sweatpants with Green “Florida Gators” Graphic Print and Relaxed Wide-Leg Fit,beige-sweatpants-with-green-florida-gators-graphic-print-wide-leg-fit,women,activewear,Women,Female,Adults,,,/products/extracted/model3_female_beige_hoodie_graphic__DSC3606_6.png,"These beige sweatpants offer a relaxed, wide-leg silhouette paired with soft fabric and an elastic drawstring waist for all-day comfort. The left thigh features a green “Florida Gators” graphic print, adding a sporty collegiate touch to the minimal design. Side pockets enhance functionality, making these sweatpants ideal for lounging, casual outings, or athleisure styling. A versatile piece that delivers comfort with a subtle graphic edge.",,,Beige,graphic,casual,ZC-F0004,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC3606","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC3606","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC3606",
14,published,,Black Hoodie with White “1987” Front Graphic Minimal Streetwear Cropped Fit,black-hoodie-with-white-1987-front-graphic-minimal-streetwear-cropped-fit,women,Hoodie,Women,Female,Adults,,,/products/extracted/female_black_hoodie_graphic__DSC3510_Large_1.png,"This black cropped hoodie features a clean, minimalist aesthetic enhanced by a bold white “1987” graphic on the front. Designed with a relaxed silhouette, adjustable drawstring hood, and ribbed cuffs, it offers both style and comfort. The lightweight fabric makes it ideal for layering or casual everyday wear. Perfect for streetwear lovers, this hoodie delivers a modern look with a nostalgic numeric print that adds character without overwhelming the design.",,,Black,graphic,casual,ZC-F0014,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_front_standing__DSC3510_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_three_quarter__DSC3510_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_casual_lifestyle__DSC3510_Large",
16,published,,Women's Black Mules,womens-black-mules-16,Footwear,Mules,Women,Female,Adults,,,/products/extracted/female_black_mules__DSC4039_Large_3.png,"Discover this stylish black mules. Crafted with attention to quality and contemporary fashion, this piece offers the perfect blend of style and comfort. The versatile design makes it suitable for various occasions, from casual outings to more polished settings. Quality materials ensure lasting wear while the thoughtful construction provides a comfortable fit. A great addition to any wardrobe. Shop now to add this mules to your collection.",,,Black,,casual,ZC-F0019,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC4039_Large",
17,published,,"Black denim cargo pants with contrast white stitching and utility pockets, graphic-free design",black-denim-cargo-pants-contrast-white-stitching-utility-pockets,women,jeans,Women,Female,Adults,,,/products/extracted/model2_male_dark_teal_sweatshirt_graphic__DSC5314_3.png,"These black denim cargo pants feature bold contrast white stitching and a structured utility design that elevates everyday styling. Crafted from sturdy denim, they include multiple cargo pockets, oversized patch pockets, and clean straight-leg construction for a modern, functional look. With no graphical prints or text, the design stays minimal and versatile while delivering a strong streetwear-inspired aesthetic suited for casual and urban outfits.",,,Black,,casual,ZC-F0023,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC5314","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC5314","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC5314",
18,published,,Blue Classic Denim Jacket with Button-Front Closure and Structured Panel Detailing,blue-classic-denim-jacket-with-button-front-closure-and-structured-panel-detailing,women,jackets,Women,Female,Adults,,,/products/extracted/female_black_mules__DSC4039_Large_3.png,"This blue classic denim jacket offers a timeless silhouette crafted from durable, mid-weight denim with a naturally faded wash for a versatile everyday look. The button-front closure and structured panel detailing provide both style and shape, while the flap chest pockets add functional utility. Long sleeves with buttoned cuffs enhance adjustability and comfort. Designed for effortless layering across seasons, this jacket complements casual, streetwear, and smart-casual ensembles with ease.",,,Blue,,casual,ZC-F0028,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC4039_Large",
19,published,,"Women's Acid Wash Blue Jeans with Butterfly Cut-Out Appliqué Detail, Straight Leg Fit",womens-acid-wash-blue-jeans-butterfly-applique-straight-leg,women,Jeans,Women,Female,Adults,,,/products/extracted/model3_male_dark_green_button_up_shirt_graphic__DSC3800_Large_9.png,"These stylish women's jeans feature a trendy acid-wash blue finish for a vintage, distressed look. The straight-leg cut offers a comfortable, timeless silhouette suitable for various body types. The standout detail is the intricate butterfly-shaped cut-out appliqué on the thigh and knee area, adding a unique, ethereal touch. Crafted from durable denim, they are designed for everyday wear. They include a classic five-pocket design, belt loops, and a zip-fly closure. Perfect for adding a whimsical yet fashionable element to your casual outfit rotation.",,,Blue,graphic,casual,ZC-F0029,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/model3_male_casual_front_standing__DSC3800_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/model3_male_casual_three_quarter__DSC3800_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/model3_male_casual_casual_lifestyle__DSC3800_Large",
20,published,,Blue Straight-Leg Mid-Rise Denim Jeans with Clean Wash and Classic Five-Pocket Design,blue-straight-leg-mid-rise-denim-jeans-with-clean-wash-and-classic-five-pocket-design,women,jeans,Women,Female,Adults,,,/products/extracted/female_black_hoodie_graphic__DSC3510_Large_1.png,"These blue straight-leg mid-rise denim jeans feature a clean, even wash that delivers a polished yet casual look. Constructed from durable, medium-weight denim, they offer a comfortable fit ideal for all-day wear. The classic five-pocket design enhances functionality while maintaining timeless appeal. The straight silhouette provides balanced structure and versatility, making these jeans suitable for pairing with casual tees, smart tops, or layered outfits throughout the year.",,,Blue,,casual,ZC-F0030,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_front_standing__DSC3510_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_three_quarter__DSC3510_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_casual_lifestyle__DSC3510_Large",
21,published,,Women's High-Waisted Wide Leg Relaxed Fit Blue Denim Jeans,womens-high-waisted-wide-leg-relaxed-fit-blue-denim-jeans,women,jeans,Women,Female,Adults,,,/products/extracted/female_black_hoodie_graphic_print_streetwear__DSC6406.png,"Elevate your casual wardrobe with these women's high-waisted, wide-leg blue denim jeans. Designed for a relaxed fit, they feature a classic five-pocket construction with a zip fly and button closure. The durable denim fabric showcases a subtle washed effect and whiskering, adding a touch of vintage charm. Perfect for pairing with crop tops or tucked-in tees, these versatile jeans offer both comfort and style for everyday wear. The wide leg ensures ease of movement while elongating the silhouette.",,,Blue,,casual,ZC-F0031,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC6406","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC6406","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC6406",
22,published,,"Beige wide-leg pants with minimal clean design, no graphical print, solid finish for everyday styling",beige-wide-leg-pants-minimal-clean-solid-design,women,activewear,Women,Female,Adults,,,/products/extracted/model2_male_light_green_shirt__DSC3952_Large_4.png,"These beige wide-leg pants feature a clean, minimal design with a smooth solid finish, making them a versatile foundation for casual and semi-formal wardrobes. The relaxed wide-leg silhouette offers effortless movement and all-day comfort, while the soft fabric drapes naturally for a refined look. With no graphical prints or text, the focus remains on simplicity and elegance, making these pants ideal for pairing with patterned tops or understated essentials.",,,Beige,,casual,ZC-F0003,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_front_standing__DSC3952_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_three_quarter__DSC3952_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_smart_casual_casual_lifestyle__DSC3952_Large",
23,published,,Beige Graphic T-Shirt with Red Chili Illustration and “Spicy Hot Chili” Text Print,beige-graphic-t-shirt-with-red-chili-illustration-and-spicy-hot-chili-text-print,women,T-Shirt,Women,Female,Adults,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/extracted/female_hot_pink_floral_print_tunic_and_trouser_graphic_print_casual_SONY_ILCE_7RM5_9600x","This beige graphic T-shirt showcases a vibrant chili-themed design featuring bold red chili peppers and lush green leaves. The print includes playful text such as “SPICY,” “Extra Hot Chili,” “Always Fresh,” and “Spice up your feed with some chilli love,” adding a fun, standout appeal. Crafted from soft, breathable fabric, the tee offers a classic crew neckline and a relaxed fit for all-day comfort. Perfect for casual outfits, it blends quirky personality with everyday versatility.",,,Beige,graphic,casual,ZC-F0006,false,,,,,,,,,,,,,,
24,published,,Womens Mid Wash Blue Denim Cargo Jeans High Rise Straight Leg Utility Pockets Style,womens-mid-wash-blue-denim-cargo-jeans-high-rise-straight-leg,women,jeans,Women,Female,Adults,,,products/extracted/female_blue_jeans__DSC3510_Large_2.jpg,These fashionable women's cargo jeans blend the comfort of denim with the trendy utility look. They feature a flattering high-rise waist and a relaxed straight-leg fit offering a modern take on the classic '90s silhouette. The key design element is the large functional patch pockets on both sides of the leg providing ample storage and a distinctive cargo aesthetic. The mid-wash blue denim is versatile and easy to pair with any top. Complete with a standard zip fly button closure and five-pocket styling on the waist these jeans are perfect for an edgy casual or street-style outfit.,,,Blue,,casual,ZC-F0032,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_front_standing__DSC3510_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_three_quarter__DSC3510_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_casual_lifestyle__DSC3510_Large",
25,published,,"Brown and black tiger-print chiffon blouse with voluminous sleeves, bold animal graphic pattern",brown-black-tiger-print-chiffon-blouse-voluminous-sleeves-animal-graphic,women,tops,Women,Female,Adults,,,/products/extracted/female_caramel_brown_cropped_blouse_graphic_print_vintage_SONY_ILCE_7RM5_6304x.png,"This brown and black tiger-print chiffon blouse features a bold animal-graphic pattern that enhances its statement look. Designed with soft, lightweight fabric, it showcases voluminous three-quarter sleeves and a relaxed silhouette, offering effortless movement and comfort. The wide neckline and flowing drape add a stylish, elevated appeal. Perfect for pairing with skirts, denim, or evening pieces, this top merges chic sophistication with modern, trend-forward design.",,,Caramel,graphic,vintage,ZC-F0035,false,,,,,,,,,,,/products/extracted/model2_female_brown_cropped_top_graphic_SONY_ILCE-7RM5_6304x4180_000006_3.png,/products/extracted/model2_female_dark_brown_sleeveless_top__DSC4827_Large_3.png,/products/extracted/model2_female_maroon_blouse__DSC3989_Large_2.png,
26,published,,Women's Beige Graphic Print Hoodie,womens-beige-graphic-print-hoodie-26,women,activewear,Women,Female,Adults,,,/products/extracted/model3_female_beige_hoodie_graphic__DSC3606_6.png,"Embrace comfort and style with this cozy beige hoodie featuring graphic print design. Crafted from soft, premium fabric, this hoodie offers the perfect blend of warmth and casual fashion. The relaxed fit makes it ideal for lounging, casual outings, or layering on cooler days. Quality construction ensures lasting comfort through countless wears. A versatile staple that pairs effortlessly with jeans, joggers, or shorts. Shop now to add this hoodie to your collection.",,,Beige,graphic,athleisure,ZC-F0036,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC3606","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC3606","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC3606",
27,published,,Girl's Cream Graphic Print Dress,girls-cream-graphic-print-dress,Kids,Dress,Kids,Girl,Kids,,,/products/extracted/female_beige_t_shirt_graphic__DSC6666_1.png,"Make an impression in this beautiful cream dress featuring graphic print design. The flattering silhouette and quality fabric combine to create a piece that moves gracefully with you. Perfect for special occasions, date nights, or elevated everyday wear. The thoughtful construction ensures comfort while the elegant design makes a sophisticated statement. Style with heels for evening events or flats for daytime charm. Shop now to add this dress to your collection.",,,Cream,graphic,casual,ZC-KG0037,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_front_standing__DSC6666","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_three_quarter__DSC6666","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_streetwear_casual_lifestyle__DSC6666",
28,published,,Cream embroidered tunic blouse with black zigzag graphic detailing and front button-down design,cream-embroidered-tunic-blouse-black-zigzag-graphic-button-down,women,ethnic-fusion,Women,Female,Adults,,,/products/extracted/female_cream_embroidered_tunic_blouse_graphic_print_bohemian_file_1616x1080_00132.png,"This cream embroidered tunic blouse showcases bold black zigzag graphic detailing along the front, sleeves, and shoulders, creating a striking bohemian-inspired aesthetic. Crafted from a lightweight fabric, it features a structured collar, full sleeves, and a front button-down closure for refined styling. The longline silhouette offers a flattering, versatile fit that pairs well with denim, trousers, or layered ensembles for both casual and elevated looks.",,,Cream,graphic,bohemian,ZC-F0038,false,,,,,,,,,,,/products/extracted/model2_female_maroon_blouse__DSC3989_Large_2.png,,,
29,published,,Women's Black & White Striped Knit Sweater with Boat Neck and Long Sleeves,womens-black-white-striped-knit-sweater-boat-neck-long-sleeves,women,sweaters,Women,Female,Adults,,,/products/extracted/female_black_mules__DSC4039_Large_3.png,"This women’s black and white striped knit sweater features a timeless horizontal stripe pattern with a classic boat neckline for an elegant, relaxed look. Crafted from a soft, comfortable knit fabric, it offers warmth without feeling bulky. The long sleeves and ribbed cuffs provide a neat finish, making it ideal for everyday wear. Easy to style with jeans, trousers, or skirts, this versatile sweater works perfectly for casual outings, office layering, or cool-weather styling.",,,Black,striped,casual,ZC-F0025,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC4039_Large",
30,published,,Women's Solid Black Classic Crew Neck Cotton T-Shirt with Short Sleeves,womens-solid-black-classic-crew-neck-cotton-t-shirt-short-sleeves,women,t-shirts,Women,Female,Adults,,,/products/extracted/female_black_polo_shirt__DSC6224_1.png,"Discover this stylish black top. Crafted with attention to quality and contemporary fashion, this piece offers the perfect blend of style and comfort. The versatile design makes it suitable for various occasions, from casual outings to more polished settings. Quality materials ensure lasting wear while the thoughtful construction provides a comfortable fit. A great addition to any wardrobe. Shop now to add this top to your collection.",,,Black,,casual,ZC-F0026,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC6224","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC6224","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC6224",
31,published,,Blue A-Line Denim Skirt with Front Button Closure and Raw Hem Detailing,blue-a-line-denim-skirt-with-front-button-closure-and-raw-hem-detailing,women,dresses,Women,Female,Adults,,,/products/extracted/female_black_mules__DSC4039_Large_3.png,"This blue A-line denim skirt offers a timeless silhouette with a structured yet feminine shape. The front button closure features metallic buttons that add classic appeal, while the raw hem provides a subtle contemporary edge. Crafted from durable, medium-weight denim, the skirt maintains its shape and drape for effortless styling. Designed to pair with casual tops or polished layers, it delivers versatility, comfort, and everyday elegance suitable for multiple seasons and occasions.",,,Blue,,casual,ZC-F0033,false,,,,,,,,,,,"https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_front_standing__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_three_quarter__DSC4039_Large","https://res.cloudinary.com/ds8llatku/image/upload/f_auto,q_auto/zecode/products/model-poses/female_casual_casual_lifestyle__DSC4039_Large",
